subdomain,ip,source
605ade22d694b815c652fce4.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
597be54-mattermost.prebuilt-app.bizflycloud.vn,103.107.183.59,hackertarget
84d1356-openvpn.prebuilt-app.bizflycloud.vn,103.107.182.80,hackertarget
4c3b425-openvpn.prebuilt-app.bizflycloud.vn,45.124.94.229,alienvault
86a278c-cwp.prebuilt-app.bizflycloud.vn,103.109.43.178,alienvault
609c796d50d5573d60ce169d.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
7b77fdf-redmine.prebuilt-app.bizflycloud.vn,103.107.183.148,hackertarget
c4ee8d1-openvpn.prebuilt-app.bizflycloud.vn,103.153.72.139,alienvault
60b6fc1207600027b59257ce.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
fa10e98-cwp.prebuilt-app.bizflycloud.vn,103.69.193.239,alienvault
7d39d49-cwp.prebuilt-app.bizflycloud.vn,103.56.157.145,alienvault
capt-ima100.bizflycloud.vn,103.69.195.213,hackertarget
af11c4d-jitsi.prebuilt-app.bizflycloud.vn,45.124.95.247,rapiddns
bincozserve.dev.bizflycloud.vn,14.225.36.116,crtsh
webthethao.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
d9abde6-jitsi.prebuilt-app.bizflycloud.vn,103.153.73.93,rapiddns
8e3e488-joomla.prebuilt-app.bizflycloud.vn,103.107.183.100,hackertarget
bf8db93-nextcloud.prebuilt-app.bizflycloud.vn,45.124.95.55,rapiddns
c024250-openvpn.prebuilt-app.bizflycloud.vn,103.107.183.229,alienvault
graph.cdn.bizflycloud.vn,123.30.151.66,leakix
ea019e4-jitsi.prebuilt-app.bizflycloud.vn,103.69.193.241,rapiddns
10eb3f2-owncloud.prebuilt-app.bizflycloud.vn,45.124.94.185,alienvault
5ecef1a-cwp.prebuilt-app.bizflycloud.vn,103.107.182.50,alienvault
bb04165-nextcloud.prebuilt-app.bizflycloud.vn,103.107.183.139,crtsh
imap-proxy-5.bizflycloud.vn,103.69.195.139,hackertarget
14bef34-jitsi.prebuilt-app.bizflycloud.vn,123.30.234.196,hackertarget
lallaa-cogimoi.ss-hn-1.bizflycloud.vn,103.107.180.241,rapiddns
capt-se295.bizflycloud.vn,123.31.11.105,hackertarget
capt-se305.bizflycloud.vn,45.124.93.239,hackertarget
7496fbf-joomla.prebuilt-app.bizflycloud.vn,14.225.27.62,hackertarget
432870b-cwp.prebuilt-app.bizflycloud.vn,103.56.157.173,alienvault
6049d03dbb3fb6d5301cc9e9.wifimkt.bizflycloud.vn,103.148.57.196,crtsh
14664b8-mattermost.prebuilt-app.bizflycloud.vn,123.30.234.52,leakix
63d9892-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.217,leakix
ddb4e.drive.bizflycloud.vn,123.31.11.240,alienvault
332583b-nextcloud.prebuilt-app.bizflycloud.vn,103.148.57.220,hackertarget
cbce11b-clearos.prebuilt-app.bizflycloud.vn,103.56.158.218,rapiddns
27210eb-openvpn.prebuilt-app.bizflycloud.vn,103.153.73.165,hackertarget
bizfly-smtp-relay-18.bizflycloud.vn,123.31.8.161,hackertarget
607eabd02f20a5b6385d4131.wifimkt.bizflycloud.vn,103.148.57.196,alienvault
8be6230-openvpn.prebuilt-app.bizflycloud.vn,103.153.74.187,hackertarget
