Domain,IP,Status
digital.admicro.vn,222.255.27.27,503
content-ml.admicro.vn,222.255.27.27,503
insight.admicro.vn,222.255.27.27,200
layout.admicro.vn,222.255.27.27,403
beta.admicro.vn,222.255.27.27,200
policy.admicro.vn,222.255.27.27,503
proposal.admicro.vn,222.255.27.27,503
workshop.admicro.vn,222.255.27.27,503
apigateway.admicro.vn,222.255.27.27,200
epl-copyright.admicro.vn,222.255.27.27,200
qlkh.admicro.vn,222.255.27.27,503
nanda.admicro.vn,222.255.27.27,200
kpi.admicro.vn,222.255.27.27,200
ntpdate.admicro.vn,10.5.0.194,Die
bizfly.admicro.vn,222.255.27.27,503
remarketing.admicro.vn,123.30.151.81,200
prm.admicro.vn,123.30.151.81,200
media.tronniemvui.admicro.vn,103.69.195.206,403
danhso.admicro.vn,123.30.151.81,503
bsp.admicro.vn,14.225.10.11,200
cpa.admicro.vn,14.225.10.11,200
pr.admicro.vn,14.225.10.11,200
redmine.admicro.vn,14.225.10.11,200
datacenter.admicro.vn,14.225.10.11,503
taitro.admicro.vn,14.225.10.11,200
htnanda.admicro.vn,14.225.10.11,200
hotrothietke.admicro.vn,14.225.10.11,200
careers.admicro.vn,123.30.151.81,404
dspadx.admicro.vn,192.168.6.135,Die
dspadx.admicro.vn,192.168.6.136,Die
bssp.admicro.vn,14.225.10.11,200
docs.admicro.vn,14.225.10.11,200
project.admicro.vn,14.225.10.11,503
display.admicro.vn,14.225.10.11,503
trade-desk.admicro.vn,123.30.151.81,403
linkhay.trade-desk.admicro.vn,123.30.151.81,200
chamcong.admicro.vn,123.30.151.81,200
kinghub.admicro.vn,123.30.151.81,200
tagmanager.admicro.vn,123.30.151.81,200
emailmkt.admicro.vn,14.225.10.11,503
apidoc.admicro.vn,14.225.10.11,200
intergrate-kpi.admicro.vn,14.225.10.11,200
microsite.admicro.vn,123.30.151.81,200
demo.microsite.admicro.vn,123.30.151.81,404
instantview.admicro.vn,123.30.151.81,503
data.cpa.admicro.vn,123.30.151.81,403
bannermaker.admicro.vn,14.225.10.11,503
beta.pr.admicro.vn,123.30.151.81,200
thuctreo.admicro.vn,123.30.151.81,200
link.admicro.vn,123.30.151.81,503
nativeads.admicro.vn,123.30.151.81,200
k.logging.admicro.vn,123.30.151.113,404
dp.dev.admicro.vn,123.30.151.81,503
snapdemo.admicro.vn,123.30.151.81,200
aa4.admicro.vn,123.30.151.81,200
wcc.admicro.vn,103.69.194.123,200
metrics.admicro.vn,14.225.10.11,503
dev.sso.admicro.vn,123.30.151.81,503
dev.bsp.admicro.vn,123.30.151.81,403
blog.admatic.admicro.vn,123.30.151.81,200
manager.dataset.admicro.vn,123.30.151.81,200
muangoai.admicro.vn,123.30.151.81,200
tuyenbai.admicro.vn,123.30.151.81,200
demo-adopt.admicro.vn,45.124.93.42,Die
ketoan.admicro.vn,123.30.151.81,200
erpnew.admicro.vn,123.30.151.81,200
contract.admicro.vn,123.30.151.123,200
adsdemo.admicro.vn,123.30.151.81,200
api.analytics.admicro.vn,123.30.151.81,200
brand.admicro.vn,123.30.151.81,200
drive.admicro.vn,123.30.151.81,200
beta.analytics.admicro.vn,123.30.151.81,200
mapping-platform.admicro.vn,123.30.151.81,200
note.admicro.vn,123.30.151.81,200
hotelbeds.dev.admicro.vn,123.30.151.81,503
hotelbeds.admicro.vn,123.30.151.81,503
apipr.admicro.vn,123.30.151.81,200
cmspr.admicro.vn,123.30.151.81,503
nhuansale.admicro.vn,123.30.151.81,200
kol.admicro.vn,123.30.151.81,503
adserving.admicro.vn,222.255.27.27,200
fingerprint.admicro.vn,123.30.151.81,404
contracts.admicro.vn,123.30.151.81,200
admanager.admicro.vn,123.30.151.81,503
creativestudioa.admicro.vn,123.30.151.81,200
lab.admicro.vn,45.124.92.154,403
api.notification.admicro.vn,123.30.151.81,200
notification.admicro.vn,123.30.151.81,200
bot.admicro.vn,123.30.151.81,503
landingpage.admicro.vn,123.30.151.81,200
campaign.admicro.vn,123.30.151.80,503
chamcongaccount.admicro.vn,123.30.151.81,200
chinhsach.admicro.vn,123.30.151.81,200
showcase.admatic.admicro.vn,123.30.151.81,200
ul.admicro.vn,123.30.151.81,200
3rd.admicro.vn,123.30.151.81,200
dev-short.admicro.vn,123.30.151.81,503
wowapi.admicro.vn,123.30.151.81,503
chamnhuanpr.admicro.vn,123.30.151.81,200
webuy.admicro.vn,123.30.151.81,200
inventory.dev.admicro.vn,123.30.151.81,200
iz.dev.admicro.vn,123.30.151.81,200
brandsafety.admicro.vn,123.30.151.81,200
chatbot.admicro.vn,123.30.151.81,200
iz-landing.dev.admicro.vn,123.30.151.81,503
smtp6.admicro.vn,103.69.195.198,404
smtp5.admicro.vn,103.69.195.244,404
vcsec.admicro.vn,103.69.195.197,Die
speech.admicro.vn,14.225.10.11,200
ads.admicro.vn,123.30.151.81,200
voicebot.speech.admicro.vn,14.225.10.11,200
visualcontent.admicro.vn,123.30.151.80,200
demo.corenlp.admicro.vn,123.30.151.80,404
inventory-api.dev.admicro.vn,123.30.151.81,500
chatbot-adtechhcm.admicro.vn,123.30.151.81,503
subscribe.admicro.vn,123.30.151.81,500
meetingroom.admicro.vn,123.30.151.81,200
www.subscribe.admicro.vn,123.30.151.81,500
dspiplayadx.admicro.vn,123.30.151.80,503
asd.admicro.vn,123.30.151.81,200
enterprise.admicro.vn,123.30.151.81,200
admatic.dev.admicro.vn,123.30.151.81,503
lionstudio.admicro.vn,123.30.151.81,200
megalivestream.admicro.vn,123.30.151.81,200
contentproduction.admicro.vn,123.30.151.81,200
notify-service.admicro.vn,14.225.10.11,503
videoanalytics.admicro.vn,14.225.10.11,401
beta.publisher.admicro.vn,123.30.151.81,200
biroyalty.admicro.vn,123.30.151.81,503
abmfake.admicro.vn,123.30.151.81,200
channel.admicro.vn,123.30.151.81,200
aot.admicro.vn,123.30.151.81,200
yep.admicro.vn,123.30.151.81,200
dev.apigateway.admicro.vn,123.30.151.81,200
dev.cmsads.admicro.vn,222.255.27.27,200
voiceapi.speech.admicro.vn,14.225.10.11,200
stg-file.admicro.vn,45.124.93.134,200
apivoucher.admicro.vn,14.225.10.11,401
computervision.admicro.vn,14.225.10.11,503
dev-agencycrm.admicro.vn,222.255.27.27,200
dev.notify-service.admicro.vn,14.225.10.11,503
k8s.admicro.vn,10.5.1.107,Die
ordercontent.admicro.vn,123.30.151.81,200
social-seeding.admicro.vn,123.30.151.81,200
agency.admicro.vn,123.30.151.81,200
bizflyhr.admicro.vn,14.225.10.11,200
bizflycong.admicro.vn,14.225.10.11,200
office.drive.admicro.vn,123.30.151.81,Die
rec.admicro.vn,123.30.151.81,503
faceid.admicro.vn,123.30.151.80,200
ekyc.admicro.vn,123.30.151.80,200
accountvanhanh.admicro.vn,123.30.151.81,200
metabase.admicro.vn,123.30.151.80,200
chinhsachban.admicro.vn,123.30.151.81,200
alpha.analytics.admicro.vn,14.225.10.11,200
bigdata-api.analytics.admicro.vn,14.225.10.11,200
webuy.analytics.admicro.vn,14.225.10.11,200
speech-to-text.admicro.vn,14.225.10.11,200
speech-asr.admicro.vn,14.225.10.11,404
speech-tts.admicro.vn,14.225.10.11,503
tag.admicro.vn,14.225.10.11,200
inventory-trading.admicro.vn,14.225.10.11,200
v2.apigateway.admicro.vn,14.225.10.11,200
creatorcontent.admicro.vn,123.30.151.81,200
jkci.admicro.vn,14.225.10.11,503
mktdashboard.admicro.vn,14.225.10.11,200
adversing.admicro.vn,123.30.151.80,200
erpsso.admicro.vn,123.30.151.80,200
api.adx.admicro.vn,123.30.151.81,200
covid.admicro.vn,123.30.151.81,200
notify.admicro.vn,123.30.151.81,200
datalabelling.admicro.vn,123.30.151.81,200
cmsanalytics.admicro.vn,14.225.10.11,404
trungthu.admicro.vn,123.30.151.81,200
mglive.admicro.vn,123.30.151.81,200
contentplanet.admicro.vn,123.30.151.81,200
services.adx.admicro.vn,123.30.151.81,Die
chinhsachban-backend.admicro.vn,123.30.151.81,200
engineering.admicro.vn,123.30.151.81,200
dev-e-learning.admicro.vn,123.30.151.81,403
power-ups.admicro.vn,123.30.151.81,500
vault.admicro.vn,14.225.10.11,503
engagementcontest.admicro.vn,123.30.151.81,503
adtechhcm.admicro.vn,14.225.10.11,503
maven.admicro.vn,123.30.151.81,503
survey-admatic.admicro.vn,123.30.151.81,200
meetingroom-backend.admicro.vn,123.30.151.81,200
platform-trino.admicro.vn,14.225.10.11,503
saphangbacty.admicro.vn,123.30.151.81,200
quanlythucchay.admicro.vn,123.30.151.81,200
quanlythucchay-backend.admicro.vn,123.30.151.81,200
demoadx.admicro.vn,123.30.151.81,200
demoadxbe.admicro.vn,123.30.151.81,200
bs-api.admicro.vn,14.225.10.11,503
microbox.admicro.vn,123.30.151.81,503
kpi-test.admicro.vn,123.30.151.81,200
dev.dangtin.admicro.vn,123.30.151.81,200
brd-service.admicro.vn,123.30.151.81,200
