Domain,IP,Status
3518edb-gitlab.prebuilt-app.bfcplatform.vn,14.225.36.60,alienvault
f67f593-magento.prebuilt-app.bfcplatform.vn,123.30.234.33,crtsh
d47e441-owncloud.prebuilt-app.bfcplatform.vn,103.153.74.236,crtsh
d48b417-cwp.prebuilt-app.bfcplatform.vn,123.30.234.69,crtsh
0ea1812-openvpn.prebuilt-app.bfcplatform.vn,103.107.182.89,crtsh
a9cabc2-openvpn.prebuilt-app.bfcplatform.vn,123.31.39.57,crtsh
hn.ss-website.bfcplatform.vn,103.107.180.241,digitorus
38e8877-openvpn.prebuilt-app.bfcplatform.vn,103.107.182.63,alienvault
170de5d-clearos.prebuilt-app.bfcplatform.vn,103.107.182.219,crtsh
9758bc1-magento.prebuilt-app.bfcplatform.vn,103.107.183.243,crtsh
36645f4-cwp.prebuilt-app.bfcplatform.vn,123.30.234.57,crtsh
fdcfe90-owncloud.prebuilt-app.bfcplatform.vn,45.124.95.79,crtsh
a749d6f-cwp.prebuilt-app.bfcplatform.vn,14.225.36.95,crtsh
ed2e0c3-cwp.prebuilt-app.bfcplatform.vn,103.69.193.48,alienvault
tele.ad.bfcplatform.vn,45.124.93.250,crtsh
hn.ss.bfcplatform.vn,103.107.180.241,digitorus
riot2022.hn.ss.bfcplatform.vn,103.107.180.241,alienvault
d58067a-openvpn.prebuilt-app.bfcplatform.vn,14.225.44.81,alienvault
89cc655-cwp.prebuilt-app.bfcplatform.vn,103.107.183.123,alienvault
appengine.bfcplatform.vn,123.31.11.119,crtsh
2b56e5c-cwp.prebuilt-app.bfcplatform.vn,45.124.95.110,alienvault
492f78a-openvpn.prebuilt-app.bfcplatform.vn,103.69.193.197,alienvault
81e5a5e-cwp.prebuilt-app.bfcplatform.vn,103.56.157.244,crtsh
4fd4413-cwp.prebuilt-app.bfcplatform.vn,14.225.36.47,crtsh
aee921e-moodle.prebuilt-app.bfcplatform.vn,103.153.73.185,crtsh
6f3f6e0-cwp.prebuilt-app.bfcplatform.vn,14.225.36.200,crtsh
54fede0-nextcloud.prebuilt-app.bfcplatform.vn,14.225.36.44,crtsh
bc6625a-cwp.prebuilt-app.bfcplatform.vn,14.225.36.242,crtsh
8412393-gitlab.prebuilt-app.bfcplatform.vn,123.30.234.241,alienvault
79d29e2-cwp.prebuilt-app.bfcplatform.vn,103.107.182.93,crtsh
04f26ef-nextcloud.prebuilt-app.bfcplatform.vn,103.109.43.174,crtsh
2f93c9d-gitlab.prebuilt-app.bfcplatform.vn,103.153.75.218,alienvault
7006dab-sentry.prebuilt-app.bfcplatform.vn,45.124.94.13,alienvault
86b7016-gitlab.prebuilt-app.bfcplatform.vn,14.225.44.115,alienvault
2a64bc7-jitsi.prebuilt-app.bfcplatform.vn,103.153.73.75,crtsh
5669f03-magento.prebuilt-app.bfcplatform.vn,103.107.183.47,crtsh
